iter	Logloss
0	0.6269015503
1	0.5724300385
2	0.5300144196
3	0.4913208771
4	0.4613473511
5	0.4343078232
6	0.4122518158
7	0.3927426529
8	0.3752101517
9	0.3594853973
10	0.3453704071
11	0.332388916
12	0.3215824509
13	0.311918335
14	0.3033857727
15	0.2957184601
16	0.2884853745
17	0.2817148972
18	0.2773288345
19	0.2718564224
20	0.2673057747
21	0.2622457123
22	0.2580636978
23	0.2538389587
24	0.2502018929
25	0.2467633629
26	0.2447079849
27	0.242976532
28	0.2412962723
29	0.2393850327
30	0.2377236176
31	0.2360195923
32	0.234803772
33	0.2332600021
34	0.2321427727
35	0.2304504967
36	0.2294939804
37	0.2287385178
38	0.2276913834
39	0.2274179459
40	0.2260994148
41	0.2244149399
42	0.2235636902
43	0.2232552338
44	0.2225628471
45	0.220736618
46	0.2203342819
47	0.2192774963
48	0.2187508011
49	0.2181124878
50	0.2177560043
51	0.2168510818
52	0.2166020966
53	0.2161852264
54	0.2157313728
55	0.2152845573
56	0.2134302521
57	0.2129964066
58	0.2126715088
59	0.2116134071
60	0.2111055756
61	0.2104534149
62	0.2098037529
63	0.20957798
64	0.2092615891
65	0.20852911
66	0.2075102806
67	0.2066959381
68	0.2063748169
69	0.20551754
70	0.2039820099
71	0.2034696388
72	0.2032119179
73	0.2029761314
74	0.2022990036
75	0.2019425583
76	0.2014144707
77	0.2012634277
78	0.2009540367
79	0.2008482361
80	0.2006903076
81	0.2001819229
82	0.1998258209
83	0.1997605324
84	0.1985725975
85	0.1981800079
86	0.1972501945
87	0.1971897316
88	0.1964160347
89	0.1962129974
90	0.1960398674
91	0.1955507088
92	0.1955222321
93	0.1954102707
94	0.1951815414
95	0.1950952911
96	0.1949282265
97	0.1943156052
98	0.1940710068
99	0.1938944244
